,Brands,Model,BEE_Rating,Tons,Reviews_Count,Ratings_Count,Cust_Review,Original_Price,Current_Price,Room_Size,Annual_Power_Usage
0,ONIDA,ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,939,7988,4.3,43900,29990,111 - 150,969.15
1,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.0,1.5,403,4378,4.1,49990,32990,111 - 150,883.14
2,Voltas,Voltas 2023 Model 0.6 Ton 2 Star Split AC  - White,2.0,0.6,13,133,4.0,49690,19999,90,475.3
3,Voltas,Voltas 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,5.0,1.5,244,2635,4.1,75990,37990,111 - 150,751.28
4,Godrej,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.0,1.5,403,4378,4.1,45400,30990,111 - 150,965.71
5,Voltas,Voltas 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.0,1.5,1713,19291,4.2,62990,31999,111 - 150,975.26
6,Whirlpool,Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter 6th Sense Technology AC ...,5.0,1.5,558,6468,4.0,70600,33990,111 - 150,761.33
7,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.0,1.0,179,1726,4.1,42900,28990,90,694.03
8,MarQ,MarQ by Flipkart 2024 Range 1 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology ...,3.0,1.0,104,981,4.3,47999,26490,90,736.07
9,Panasonic,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 3 Star Split Inverter ...,3.0,1.5,2330,19830,4.3,55400,34990,111 - 150,1002.72
10,Godrej,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,5.0,1.0,179,1726,4.1,48900,32990,90,524.03
11,Blue,"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...",3.0,0.8,1521,13889,4.2,41500,27999,90,521.6
